"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"10206","ENSG00000148218",1499,-0.0251,0.054,0.482,0.777,"ALAD","9606.ENSP00000386284","Ensembl_gene"
"10207","ENSG00000156639",3845,-0.0249,0.0524,0.482,0.777,"ZFAND3","9606.ENSP00000287218","Ensembl_gene"
"10208","ENSG00000164181",86,-0.02,0.0641,0.482,0.777,"ELOVL7","9606.ENSP00000424123","Ensembl_gene"
"10209","ENSG00000167088",404,0.0179,0.0654,0.482,0.777,"SNRPD1","9606.ENSP00000300413","Ensembl_gene"
"10210","ENSG00000167914",13,0.0089,0.068,0.482,0.777,"GSDMA","9606.ENSP00000301659","Ensembl_gene"
"10211","ENSG00000182022",9632,-0.024,0.0571,0.482,0.777,"CHST15","9606.ENSP00000402394","Ensembl_gene"
"10212","ENSG00000198924",112,-0.0188,0.0648,0.482,0.777,"DCLRE1A","9606.ENSP00000355185","Ensembl_gene"
"10213","ENSG00000211751",10954,-0.0222,0.0613,0.482,0.777,"TRBC1","#N/A","#N/A"
"10214","ENSG00000279529",200,0.0235,0.0555,0.482,0.777,"AC008764.8","#N/A","#N/A"
"10215","ENSG00000104331",877,0.0211,0.0628,0.482,0.778,"IMPAD1","9606.ENSP00000262644","Ensembl_gene"
"10216","ENSG00000136932",929,0.0243,0.0494,0.483,0.778,"TRMO","9606.ENSP00000364260","Ensembl_gene"
"10217","ENSG00000153898",218,0.0218,0.062,0.483,0.778,"MCOLN2","9606.ENSP00000359640","Ensembl_gene"
"10218","ENSG00000224081",50,-0.0198,0.0644,0.483,0.778,"SLC44A3-AS1","#N/A","#N/A"
"10219","ENSG00000232850",22,0.0133,0.0673,0.483,0.778,"AL590708.1","#N/A","#N/A"
"10220","ENSG00000272562",31,-0.0159,0.0665,0.483,0.778,"AL512343.2","#N/A","#N/A"
"10221","ENSG00000090432",1406,-0.0247,0.0525,0.483,0.778,"MUL1","9606.ENSP00000264198","Ensembl_gene"
"10222","ENSG00000254536",24,0.0124,0.0677,0.483,0.778,"AL360181.3","9606.ENSP00000436767","Ensembl_gene"
"10223","ENSG00000162194",239,0.024,0.057,0.483,0.778,"LBHD1","9606.ENSP00000436848","Ensembl_gene"
"10224","ENSG00000179562",1701,0.0229,0.06,0.483,0.778,"GCC1","9606.ENSP00000318821","Ensembl_gene"
"10225","ENSG00000114853",944,-0.0255,0.0512,0.483,0.778,"ZBTB47","9606.ENSP00000232974","Ensembl_gene"
"10226","ENSG00000200795",15,-0.0066,0.0682,0.483,0.778,"RNU4-1","#N/A","#N/A"
"10227","ENSG00000117281",304,0.0198,0.0643,0.483,0.778,"CD160","9606.ENSP00000235933","Ensembl_gene"
"10228","ENSG00000101928",152,0.0213,0.0627,0.484,0.778,"MOSPD1","9606.ENSP00000359819","Ensembl_gene"
"10229","ENSG00000120685",726,0.0219,0.0627,0.483,0.778,"PROSER1","9606.ENSP00000332034","Ensembl_gene"
"10230","ENSG00000122882",773,0.0237,0.0539,0.484,0.778,"ECD","9606.ENSP00000401566","Ensembl_gene"
"10231","ENSG00000127511",3767,-0.0243,0.0466,0.484,0.778,"SIN3B","9606.ENSP00000369131","Ensembl_gene"
"10232","ENSG00000136243",504,0.0237,0.0514,0.484,0.778,"NUP42","9606.ENSP00000258742","Ensembl_gene"
"10233","ENSG00000176472",113,-0.0215,0.0624,0.484,0.778,"ZNF575","9606.ENSP00000315870","Ensembl_gene"
"10234","ENSG00000267940",103,0.0186,0.0641,0.484,0.778,"AC022762.2","#N/A","#N/A"
"10235","ENSG00000111676",1179,-0.0213,0.0623,0.484,0.778,"ATN1","9606.ENSP00000349076","Ensembl_gene"
"10236","ENSG00000114554",321,0.0228,0.06,0.484,0.778,"PLXNA1","9606.ENSP00000377061","Ensembl_gene"
"10237","ENSG00000114686",742,0.0174,0.0655,0.484,0.778,"MRPL3","9606.ENSP00000264995","Ensembl_gene"
"10238","ENSG00000135245",118,-0.0168,0.0651,0.484,0.778,"HILPDA","9606.ENSP00000257696","Ensembl_gene"
"10239","ENSG00000211965",56,0.0119,0.0674,0.484,0.778,"IGHV3-49","#N/A","#N/A"
"10240","ENSG00000270049",458,-0.0234,0.0591,0.484,0.778,"AC009061.2","#N/A","#N/A"
"10241","ENSG00000162976",1161,0.0226,0.0594,0.484,0.779,"SLC66A3","9606.ENSP00000295083","Ensembl_gene"
"10242","ENSG00000111832",545,0.0158,0.0663,0.484,0.779,"RWDD1","9606.ENSP00000420357","Ensembl_gene"
"10243","ENSG00000100055",36106,-0.0244,0.0483,0.484,0.779,"CYTH4","9606.ENSP00000248901","Ensembl_gene"
"10244","ENSG00000101188",85,-0.0172,0.0667,0.485,0.779,"NTSR1","9606.ENSP00000359532","Ensembl_gene"
"10245","ENSG00000106034",80,0.0181,0.0654,0.484,0.779,"CPED1","9606.ENSP00000309772","Ensembl_gene"
"10246","ENSG00000130812",74,-0.0196,0.0643,0.485,0.779,"ANGPTL6","9606.ENSP00000253109","Ensembl_gene"
"10247","ENSG00000286045",69,-0.02,0.0634,0.484,0.779,"AC005034.7","#N/A","#N/A"
"10248","ENSG00000211717",21,0.011,0.0677,0.485,0.779,"TRBV10-1","#N/A","#N/A"
"10249","ENSG00000270170",390,-0.0224,0.061,0.485,0.779,"NCBP2AS2","#N/A","#N/A"
"10250","ENSG00000141699",4269,-0.0258,0.0509,0.485,0.779,"RETREG3","9606.ENSP00000309432","Ensembl_gene"
"10251","ENSG00000100764",3446,-0.0236,0.052,0.485,0.779,"PSMC1","9606.ENSP00000261303","Ensembl_gene"
"10252","ENSG00000078177",108,0.0156,0.0664,0.485,0.779,"N4BP2","9606.ENSP00000261435","Ensembl_gene"
"10253","ENSG00000104497",73,0.0138,0.067,0.485,0.779,"SNX16","9606.ENSP00000379621","Ensembl_gene"
