"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"17907","ENSG00000157693",1045,0.0022,0.0368,0.923,0.98,"TMEM268","9606.ENSP00000288502","Ensembl_gene"
"17908","ENSG00000178773",55,-0.0015,0.0433,0.923,0.98,"CPNE7","9606.ENSP00000268720","Ensembl_gene"
"17909","ENSG00000186204",616,-0.0015,0.0431,0.923,0.98,"CYP4F12","9606.ENSP00000448998","Ensembl_gene"
"17910","ENSG00000241566",7,-7e-04,0.0458,0.923,0.98,"IGKV2D-24","#N/A","#N/A"
"17911","ENSG00000242247",1160,-0.0019,0.0404,0.923,0.98,"ARFGAP3","9606.ENSP00000263245","Ensembl_gene"
"17912","ENSG00000242798",18,-0.0013,0.0441,0.923,0.98,"AC073842.2","#N/A","#N/A"
"17913","ENSG00000272008",6,-8e-04,0.0456,0.923,0.98,"AL139274.2","#N/A","#N/A"
"17914","ENSG00000165650",734,0.0018,0.0413,0.924,0.98,"PDZD8","9606.ENSP00000334642","Ensembl_gene"
"17915","ENSG00000204397",1056,0.0014,0.0435,0.924,0.98,"CARD16","9606.ENSP00000364858","Ensembl_gene"
"17916","ENSG00000226853",12,-0.0013,0.0443,0.924,0.98,"AC010894.2","#N/A","#N/A"
"17917","ENSG00000259030",9,-0.0011,0.0447,0.924,0.98,"FPGT-TNNI3K","9606.ENSP00000450895","Ensembl_gene"
"17918","ENSG00000107862",2958,0.0022,0.0357,0.924,0.98,"GBF1","9606.ENSP00000359000","Ensembl_gene"
"17919","ENSG00000154655",35,-0.0017,0.0421,0.924,0.98,"L3MBTL4","9606.ENSP00000382976","Ensembl_gene"
"17920","ENSG00000238241",269,-0.002,0.0382,0.924,0.98,"CCR12P","#N/A","#N/A"
"17921","ENSG00000239305",656,-0.0021,0.0372,0.924,0.98,"RNF103","9606.ENSP00000237455","Ensembl_gene"
"17922","ENSG00000254054",9,0.0015,0.0453,0.924,0.98,"AC087273.2","#N/A","#N/A"
"17923","ENSG00000258701",50,0.0017,0.0419,0.924,0.98,"LINC00638","#N/A","#N/A"
"17924","ENSG00000119328",459,0.0021,0.0378,0.924,0.98,"ABITRAM","9606.ENSP00000363753","Ensembl_gene"
"17925","ENSG00000183628",51,0.0019,0.0408,0.924,0.98,"DGCR6","9606.ENSP00000331681","Ensembl_gene"
"17926","ENSG00000184887",2181,-0.0021,0.0352,0.925,0.98,"BTBD6","9606.ENSP00000376337","Ensembl_gene"
"17927","ENSG00000220267",285,0.0022,0.0454,0.925,0.98,"ACTBP8","#N/A","#N/A"
"17928","ENSG00000286326",6,-6e-04,0.0456,0.925,0.98,"Z95115.2","#N/A","#N/A"
"17929","ENSG00000101452",407,-0.0022,0.034,0.925,0.98,"DHX35","9606.ENSP00000252011","Ensembl_gene"
"17930","ENSG00000138315",7,8e-04,0.0456,0.925,0.98,"OIT3","9606.ENSP00000333900","Ensembl_gene"
"17931","ENSG00000148110",1715,-0.0017,0.0415,0.925,0.98,"MFSD14B","9606.ENSP00000364493","Ensembl_gene"
"17932","ENSG00000164506",1283,0.0017,0.0416,0.925,0.98,"STXBP5","9606.ENSP00000321826","Ensembl_gene"
"17933","ENSG00000172428",1015,0.0015,0.043,0.925,0.98,"COPS9","9606.ENSP00000304147","Ensembl_gene"
"17934","ENSG00000177084",1448,-0.0021,0.0287,0.925,0.98,"POLE","9606.ENSP00000322570","Ensembl_gene"
"17935","ENSG00000211947",255,-0.0012,0.0444,0.925,0.98,"IGHV3-21","#N/A","#N/A"
"17936","ENSG00000274184",15,-0.0012,0.0444,0.925,0.98,"AC011815.2","#N/A","#N/A"
"17937","ENSG00000284740",11,-0.001,0.045,0.925,0.98,"AL645728.2","#N/A","#N/A"
"17938","ENSG00000250182",28,-0.0015,0.0432,0.925,0.98,"EEF1A1P13","#N/A","#N/A"
"17939","ENSG00000174109",298,-0.0021,0.0359,0.925,0.98,"C16orf91","9606.ENSP00000413100","Ensembl_gene"
"17940","ENSG00000183615",38,-0.0015,0.0431,0.925,0.98,"FAM167B","9606.ENSP00000362684","Ensembl_gene"
"17941","ENSG00000006555",695,0.0022,0.0321,0.926,0.98,"TTC22","9606.ENSP00000360323","Ensembl_gene"
"17942","ENSG00000085982",532,0.0021,0.0305,0.926,0.98,"USP40","9606.ENSP00000415434","Ensembl_gene"
"17943","ENSG00000237436",11,0.0011,0.0446,0.926,0.98,"CAMTA1-DT","#N/A","#N/A"
"17944","ENSG00000250474",9,-0.001,0.045,0.926,0.98,"WBP1LP2","#N/A","#N/A"
"17945","ENSG00000264577",17,-5e-04,0.046,0.926,0.98,"AC010761.1","#N/A","#N/A"
"17946","ENSG00000248092",401,0.0022,0.0338,0.926,0.981,"NNT-AS1","#N/A","#N/A"
"17947","ENSG00000005194",1384,0.0021,0.0276,0.926,0.981,"CIAPIN1","9606.ENSP00000377914","Ensembl_gene"
"17948","ENSG00000081052",29,0.0013,0.0438,0.927,0.981,"COL4A4","9606.ENSP00000379866","Ensembl_gene"
"17949","ENSG00000100575",478,-0.002,0.0371,0.927,0.981,"TIMM9","9606.ENSP00000378588","Ensembl_gene"
