"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"21276","ENSG00000135801",369,0,0.0014,0.92,0.977,"TAF5L","9606.ENSP00000258281","Ensembl_gene"
"21277","ENSG00000151090",11,0,0.0014,0.92,0.977,"THRB","9606.ENSP00000379904","Ensembl_gene"
"21278","ENSG00000176209",409,0,0.0014,0.92,0.977,"SMIM19","9606.ENSP00000391549","Ensembl_gene"
"21279","ENSG00000197037",471,0,0.0014,0.92,0.977,"ZSCAN25","9606.ENSP00000377708","Ensembl_gene"
"21280","ENSG00000262700",2,0,0.0014,0.92,0.977,"AC133552.3","#N/A","#N/A"
"21281","ENSG00000062822",879,0,0.0014,0.92,0.977,"POLD1","9606.ENSP00000406046","Ensembl_gene"
"21282","ENSG00000090339",2249,0,0.0014,0.921,0.977,"ICAM1","9606.ENSP00000264832","Ensembl_gene"
"21283","ENSG00000120519",134,0,0.0014,0.921,0.977,"SLC10A7","9606.ENSP00000421275","Ensembl_gene"
"21284","ENSG00000128581",73,0,0.0014,0.92,0.977,"IFT22","9606.ENSP00000320359","Ensembl_gene"
"21285","ENSG00000180448",47107,0,0.0014,0.92,0.977,"AC004151.1","9606.ENSP00000439601","Ensembl_gene"
"21286","ENSG00000198001",2422,1e-04,0.0014,0.92,0.977,"AC093012.1","9606.ENSP00000390651","Ensembl_gene"
"21287","ENSG00000250333",3,0,0.0014,0.92,0.977,"AC093725.2","#N/A","#N/A"
"21288","ENSG00000261693",8,0,0.0014,0.921,0.977,"AC134682.1","#N/A","#N/A"
"21289","ENSG00000286288",245,0,0.0014,0.92,0.977,"AL109809.4","#N/A","#N/A"
"21290","ENSG00000286619",61,0,0.0014,0.92,0.977,"AC119673.3","#N/A","#N/A"
"21291","ENSG00000002933",1989,0,0.0014,0.921,0.977,"TMEM176A","9606.ENSP00000417626","Ensembl_gene"
"21292","ENSG00000230099",284,0,0.0014,0.921,0.977,"TRBV5-4","#N/A","#N/A"
"21293","ENSG00000241627",2,0,0.0014,0.921,0.977,"UBQLN4P1","#N/A","#N/A"
"21294","ENSG00000100567",1048,1e-04,0.0014,0.921,0.977,"PSMA3","9606.ENSP00000216455","Ensembl_gene"
"21295","ENSG00000149100",3470,0,0.0014,0.921,0.977,"EIF3M","9606.ENSP00000436049","Ensembl_gene"
"21296","ENSG00000130827",1134,0,0.0014,0.921,0.977,"PLXNA3","9606.ENSP00000358696","Ensembl_gene"
"21297","ENSG00000175894",118,0,0.0014,0.921,0.977,"TSPEAR","9606.ENSP00000321987","Ensembl_gene"
"21298","ENSG00000170935",2,0,0.0014,0.921,0.977,"NCBP2L","9606.ENSP00000476955","Ensembl_gene"
"21299","ENSG00000257950",34,0,0.0014,0.921,0.977,"P2RX5-TAX1BP3","#N/A","#N/A"
"21300","ENSG00000100129",7426,8e-04,0.0016,0.921,0.977,"EIF3L","9606.ENSP00000485663","Ensembl_gene"
"21301","ENSG00000154813",866,0,0.0014,0.921,0.977,"DPH3","9606.ENSP00000419599","Ensembl_gene"
"21302","ENSG00000160460",12,0,0.0014,0.922,0.977,"AC020929.1","9606.ENSP00000263373","Ensembl_gene"
"21303","ENSG00000245614",5,0,0.0014,0.922,0.977,"DDX11-AS1","#N/A","#N/A"
"21304","ENSG00000179253",24,0,0.0014,0.922,0.977,"AL162457.1","#N/A","#N/A"
"21305","ENSG00000006194",1964,0,0.0014,0.922,0.977,"ZNF263","9606.ENSP00000219069","Ensembl_gene"
"21306","ENSG00000163346",22001,0,0.0014,0.922,0.977,"PBXIP1","9606.ENSP00000357448","Ensembl_gene"
"21307","ENSG00000244558",2,0,0.0014,0.922,0.977,"KCNK15-AS1","#N/A","#N/A"
"21308","ENSG00000244720",6,0,0.0014,0.922,0.977,"AC055748.1","#N/A","#N/A"
"21309","ENSG00000278126",45,0,0.0014,0.922,0.977,"AC139768.1","#N/A","#N/A"
"21310","ENSG00000276809",3,0,0.0014,0.922,0.977,"AL138955.1","#N/A","#N/A"
"21311","ENSG00000128482",58,0,0.0014,0.922,0.977,"RNF112","9606.ENSP00000454919","Ensembl_gene"
"21312","ENSG00000254860",105,0,0.0014,0.922,0.977,"TMEM9B-AS1","#N/A","#N/A"
"21313","ENSG00000112561",6381,0,0.0014,0.923,0.978,"TFEB","9606.ENSP00000351742","Ensembl_gene"
"21314","ENSG00000133773",478,0,0.0014,0.923,0.978,"CCDC59","9606.ENSP00000256151","Ensembl_gene"
"21315","ENSG00000135597",1000,1e-04,0.0014,0.923,0.978,"REPS1","9606.ENSP00000392065","Ensembl_gene"
"21316","ENSG00000162511",101844,0,0.0014,0.923,0.978,"LAPTM5","9606.ENSP00000294507","Ensembl_gene"
"21317","ENSG00000242473",12,0,0.0014,0.923,0.978,"KIR2DP1","#N/A","#N/A"
"21318","ENSG00000264954",11,0,0.0014,0.923,0.978,"PRR29-AS1","#N/A","#N/A"
"21319","ENSG00000279653",3,0,0.0014,0.923,0.978,"AC004678.2","#N/A","#N/A"
"21320","ENSG00000058673",2,0,0.0014,0.925,0.978,"ZC3H11A","9606.ENSP00000438527","Ensembl_gene"
"21321","ENSG00000088836",20,0,0.0014,0.925,0.978,"SLC4A11","9606.ENSP00000369399","Ensembl_gene"
"21322","ENSG00000096968",822,0,0.0014,0.923,0.978,"JAK2","9606.ENSP00000371067","Ensembl_gene"
"21323","ENSG00000104728",3,0,0.0014,0.923,0.978,"ARHGEF10","9606.ENSP00000340297","Ensembl_gene"
"21324","ENSG00000105372",42815,-0.0012,0.0019,0.924,0.978,"RPS19","9606.ENSP00000470972","Ensembl_gene"
"21325","ENSG00000108379",5,0,0.0014,0.924,0.978,"WNT3","9606.ENSP00000225512","Ensembl_gene"
"21326","ENSG00000108395",279,0,0.0014,0.924,0.978,"TRIM37","9606.ENSP00000262294","Ensembl_gene"
"21327","ENSG00000112164",5,0,0.0014,0.923,0.978,"GLP1R","9606.ENSP00000362353","Ensembl_gene"
"21328","ENSG00000115282",1820,-1e-04,0.0014,0.925,0.978,"TTC31","9606.ENSP00000233623","Ensembl_gene"
"21329","ENSG00000116906",1396,0,0.0014,0.925,0.978,"GNPAT","9606.ENSP00000355607","Ensembl_gene"
"21330","ENSG00000130518",1002,-1e-04,0.0014,0.925,0.978,"IQCN","9606.ENSP00000376213","Ensembl_gene"
"21331","ENSG00000131401",5402,0,0.0014,0.925,0.978,"NAPSB","#N/A","#N/A"
"21332","ENSG00000139433",1853,0,0.0014,0.924,0.978,"GLTP","9606.ENSP00000315263","Ensembl_gene"
"21333","ENSG00000141642",99,0,0.0014,0.924,0.978,"ELAC1","9606.ENSP00000269466","Ensembl_gene"
"21334","ENSG00000143167",278,-1e-04,0.0014,0.924,0.978,"GPA33","9606.ENSP00000356842","Ensembl_gene"
"21335","ENSG00000151806",501,0,0.0014,0.925,0.978,"GUF1","9606.ENSP00000281543","Ensembl_gene"
"21336","ENSG00000157306",62,0,0.0014,0.924,0.978,"ZFHX2-AS1","#N/A","#N/A"
"21337","ENSG00000159860",8,0,0.0014,0.925,0.978,"TCAF2P1","#N/A","#N/A"
"21338","ENSG00000164265",26,0,0.0014,0.924,0.978,"SCGB3A2","9606.ENSP00000296694","Ensembl_gene"
"21339","ENSG00000165168",14082,0,0.0014,0.924,0.978,"CYBB","9606.ENSP00000367851","Ensembl_gene"
"21340","ENSG00000165805",25,0,0.0014,0.923,0.978,"C12orf50","9606.ENSP00000298699","Ensembl_gene"
"21341","ENSG00000170653",1047,0,0.0014,0.923,0.978,"ATF7","9606.ENSP00000399465","Ensembl_gene"
"21342","ENSG00000171503",390,0,0.0014,0.924,0.978,"ETFDH","9606.ENSP00000426638","Ensembl_gene"
"21343","ENSG00000174669",281,0,0.0014,0.925,0.978,"SLC29A2","9606.ENSP00000350024","Ensembl_gene"
"21344","ENSG00000182552",343,0,0.0014,0.924,0.978,"RWDD4","9606.ENSP00000388920","Ensembl_gene"
"21345","ENSG00000182768",312,0,0.0014,0.925,0.978,"NGRN","9606.ENSP00000368389","Ensembl_gene"
"21346","ENSG00000183066",34,0,0.0014,0.923,0.978,"WBP2NL","9606.ENSP00000332983","Ensembl_gene"
"21347","ENSG00000184557",2232,0,0.0014,0.924,0.978,"SOCS3","9606.ENSP00000330341","Ensembl_gene"
"21348","ENSG00000185198",91,0,0.0014,0.925,0.978,"PRSS57","9606.ENSP00000482358","Ensembl_gene"
"21349","ENSG00000187116",11495,-1e-04,0.0014,0.925,0.978,"LILRA5","9606.ENSP00000404236","Ensembl_gene"
"21350","ENSG00000187726",2,0,0.0014,0.925,0.978,"DNAJB13","9606.ENSP00000344431","Ensembl_gene"
"21351","ENSG00000188428",295,0,0.0014,0.925,0.978,"BLOC1S5","9606.ENSP00000380598","Ensembl_gene"
"21352","ENSG00000198093",126,0,0.0014,0.923,0.978,"ZNF649","9606.ENSP00000347043","Ensembl_gene"
"21353","ENSG00000204574",2252,0,0.0014,0.924,0.978,"ABCF1","9606.ENSP00000313603","Ensembl_gene"
"21354","ENSG00000207248",3,0,0.0014,0.924,0.978,"RNU6-1005P","#N/A","#N/A"
"21355","ENSG00000211695",94,0,0.0014,0.925,0.978,"TRGV9","#N/A","#N/A"
"21356","ENSG00000211697",27,0,0.0014,0.924,0.978,"TRGV5","#N/A","#N/A"
"21357","ENSG00000227694",3,0,0.0014,0.923,0.978,"RPL23AP74","#N/A","#N/A"
"21358","ENSG00000228502",2,0,0.0014,0.924,0.978,"EEF1A1P11","#N/A","#N/A"
"21359","ENSG00000229227",3,0,0.0014,0.924,0.978,"AL356056.1","#N/A","#N/A"
"21360","ENSG00000231527",79,0,0.0014,0.925,0.978,"FAM27C","#N/A","#N/A"
"21361","ENSG00000232504",10,0,0.0014,0.924,0.978,"ST3GAL5-AS1","#N/A","#N/A"
"21362","ENSG00000234127",2909,0,0.0014,0.925,0.978,"TRIM26","9606.ENSP00000410446","Ensembl_gene"
"21363","ENSG00000234432",9,0,0.0014,0.925,0.978,"AC092171.3","#N/A","#N/A"
"21364","ENSG00000243466",1539,0,0.0014,0.925,0.978,"IGKV1-5","#N/A","#N/A"
"21365","ENSG00000244041",260,0,0.0014,0.924,0.978,"LINC01011","#N/A","#N/A"
"21366","ENSG00000248636",5,0,0.0014,0.924,0.978,"AC002070.1","#N/A","#N/A"
"21367","ENSG00000257303",47,0,0.0014,0.924,0.978,"AC073896.2","#N/A","#N/A"
"21368","ENSG00000259207",890,0,0.0014,0.924,0.978,"ITGB3","9606.ENSP00000452786","Ensembl_gene"
"21369","ENSG00000259600",4,0,0.0014,0.924,0.978,"AC066616.2","#N/A","#N/A"
"21370","ENSG00000263834",2,0,0.0014,0.925,0.978,"MIR4635","#N/A","#N/A"
"21371","ENSG00000266805",4,0,0.0014,0.925,0.978,"AP005432.1","#N/A","#N/A"
"21372","ENSG00000267892",23,0,0.0014,0.924,0.978,"AC022144.1","#N/A","#N/A"
"21373","ENSG00000272644",33,0,0.0014,0.925,0.978,"AC097468.3","#N/A","#N/A"
"21374","ENSG00000275367",21,0,0.0014,0.923,0.978,"AC092111.1","#N/A","#N/A"
"21375","ENSG00000275927",3,0,0.0014,0.925,0.978,"AC009152.1","#N/A","#N/A"
"21376","ENSG00000276819",161,0,0.0014,0.925,0.978,"TRBV15","#N/A","#N/A"
"21377","ENSG00000285567",2,0,0.0014,0.925,0.978,"AC074051.5","#N/A","#N/A"
