"","signature","padj","comparison","method","ln_padj"
"866","serum_AD_eosinophil_high_pre_v_post_DP",6.66104802046747e-19,"eso_high_dupi","LEANR+ORA",41.8528399342839
"867","serum_AD_m3_v_m0_DP",8.9986592217189e-16,"eso_high_dupi","LEANR+ORA",34.644285897031
"868","LS_v_NL_BSL",9.7489751154063e-14,"eso_high_dupi","LEANR+ORA",29.9590291388006
"869","LS_Dup_W16",6.00834220800445e-06,"eso_high_dupi","LEANR+ORA",12.0223616864021
"870","LS_v_NL_post_DP",7.40675966085998e-05,"eso_high_dupi","LEANR+ORA",9.51053241403403
"871","LS_pre_post_DPL",5.16948631543911e-43,"eso_high_dupi","LEANR+ORA",97.3683856738759
"872","serum_AD_eosinophil_high_pre_v_post_DP",3.84002328242813e-33,"eso_high_dupi","LEANR+ORA",74.6398296390899
"873","LS_v_NL_BSL",4.96476411212936e-27,"eso_high_dupi","LEANR+ORA",60.5674317246159
"874","serum_AD_m3_v_m0_DP",7.02859996228681e-27,"eso_high_dupi","LEANR+ORA",60.2198099767296
"875","LS_Dup_W16",7.78644420295207e-12,"eso_high_dupi","LEANR+ORA",25.5786368168711
"876","LS_Dup_W4",5.66099390650687e-11,"eso_high_dupi","LEANR+ORA",23.5948365442793
"877","LS_v_NL_post_DP",1.48574608423846e-10,"eso_high_dupi","LEANR+ORA",22.6299338702247
"878","LS_v_NL_DP_W0",2.53767621977114e-06,"eso_high_dupi","LEANR+ORA",12.8842617697924
"879","serum_AD_eosinophil_high_pre_v_post_DP",7.23341152570934e-25,"eso_high_dupi","LEANR+ORA",55.5859165430254
"880","LS_pre_post_DPL",1.35417978838012e-23,"eso_high_dupi","LEANR+ORA",52.6562611900415
"881","serum_AD_m3_v_m0_DP",5.38080096742458e-22,"eso_high_dupi","LEANR+ORA",48.9740348040732
"882","LS_v_NL_BSL",8.17590994706396e-20,"eso_high_dupi","LEANR+ORA",43.9505098407826
"883","LS_Dup_W16",4.67936648636039e-11,"eso_high_dupi","LEANR+ORA",23.7852732883301
"884","LS_Dup_W4",1.52792166349036e-10,"eso_high_dupi","LEANR+ORA",22.6019425078596
"885","LS_v_NL_post_DP",5.20965515390869e-09,"eso_high_dupi","LEANR+ORA",19.0727521726407
"886","LS_pre_post_DPL",1.38470877839274e-44,"eso_high_dupi","LEANR+ORA",100.988254242517
"887","LS_v_NL_BSL",2.18567099887989e-32,"eso_high_dupi","LEANR+ORA",72.9008001010965
"888","serum_AD_eosinophil_high_pre_v_post_DP",1.7692349097588e-24,"eso_high_dupi","LEANR+ORA",54.6914950330938
"889","serum_AD_m3_v_m0_DP",3.1423589598448e-23,"eso_high_dupi","LEANR+ORA",51.8144833599012
"890","LS_v_NL_post_DP",4.40163209797379e-11,"eso_high_dupi","LEANR+ORA",23.8464606194306
"891","LS_Dup_W16",9.4063096398114e-11,"eso_high_dupi","LEANR+ORA",23.0870553205604
"892","LS_pre_post_DPL",0.000102383102617907,"eso_high_dupi","LEANR+ORA",9.18678887247209
"893","LS_v_NL_BSL",0.036135393225184,"eso_high_dupi","LEANR+ORA",3.32048247219255
"894","LS_pre_post_DPL",4.86211923450041e-32,"eso_high_dupi","LEANR+ORA",72.1012485764605
"895","LS_v_NL_BSL",8.14698312924799e-23,"eso_high_dupi","LEANR+ORA",50.8618094483299
"896","serum_AD_eosinophil_high_pre_v_post_DP",6.71137608451703e-20,"eso_high_dupi","LEANR+ORA",44.1478978502635
